Carimbo de data/hora;Selecione o seu Perfil de Conectividade neste semestre, dentre as opções a seguir:;Quantos semestres faltam para você se formar?;Marque as linguagens de programação que você já teve algum contato prático:;Das disciplinas listadas a seguir, marque todas que você já cursou e foi APROVADO:;Você já teve experiência de participação em projetos de Pesquisa e Desenvolvimento?;"Caso tenha respondido ""SIM"" na pergunta anterior, responda: Você desempenhou alguma tarefa envolvendo Visualização de Dados?";Qual a sua cidade natal? (Responder no formato: Cidade - UF);Qual a sua idade?
15/04/2026 16:33;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;C#, Java, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;22
15/04/2026 17:29;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;C#, Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Itatuba - PB;30
15/04/2026 20:24;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;C++, Java, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;29
15/04/2026 21:20;Parcialmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, mas tem alguma restrição de uso/horário (ex: um só PC compartilhado com várias pessoas que estudam/trabalham numa mesma casa) ];3;Java, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS;Sim;Não;Campina Grande - PB;32
15/04/2026 23:12;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, JavaScript, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Monteiro - PB;25
15/04/2026 23:15;Parcialmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, mas tem alguma restrição de uso/horário (ex: um só PC compartilhado com várias pessoas que estudam/trabalham numa mesma casa) ];1;Java, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Cotonou;30
16/04/2026 08:25;Parcialmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, mas tem alguma restrição de uso/horário (ex: um só PC compartilhado com várias pessoas que estudam/trabalham numa mesma casa) ];0 (este é o último);Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Não;Não;Campina Grande - PB;24
16/04/2026 10:52;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, JavaScript, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campinas - SP;21
16/04/2026 11:45;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;C, Java, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Campina Grande - PB;21
16/04/2026 12:21;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;Java, JavaScript, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Icó - CE;23
16/04/2026 15:27;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, Python;APRENDIZAGEM DE MÁQUINA, BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS;Sim;Sim;Campina Grande - PB;25
16/04/2026 18:00;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];4;Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Campina Grande - PB;20
17/04/2026 07:31;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, JavaScript, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Esperança - PB;22
17/04/2026 11:00;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Ingá - PB;23
17/04/2026 13:15;Parcialmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, mas tem alguma restrição de uso/horário (ex: um só PC compartilhado com várias pessoas que estudam/trabalham numa mesma casa) ];3;Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;20
17/04/2026 14:21;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;Java, Python;APRENDIZAGEM DE MÁQUINA, BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Não;;Campina Grande - PB;24
18/04/2026 10:48;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;C, C++, Java, JavaScript, PHP, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Campina Grande - PB;22
20/04/2026 19:58;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;Java, JavaScript, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;25
21/04/2026 21:23;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, Python, TypeScript;ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Livramento - PB;23
21/04/2026 22:53;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, JavaScript, PHP, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;24
22/04/2026 04:31;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;C++, C#, Java, JavaScript, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;João Pessoa - PB;20
22/04/2026 07:47;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, JavaScript, Python;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Sim;Sim;Campina Grande - PB;22
23/04/2026 20:30;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;Java, JavaScript, Python, TypeScript;APRENDIZAGEM DE MÁQUINA, BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Não;Sao Paulo - SP;22
24/04/2026 19:28;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Não;;Campina Grande - PB;25
26/04/2026 12:46;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];0 (este é o último);Java, JavaScript, Python, TypeScript;APRENDIZAGEM DE MÁQUINA, BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, PROGRAMAÇÃO PARA WEB;Não;;Campina Grande - PB;23
28/04/2026 23:41;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;Java, JavaScript, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Campina Grande - PB;20
29/04/2026 07:19;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];2;Java, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Não;;Itatuba;25
29/04/2026 08:08;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;C++, C#, Java, Python, R;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Não;;João Pessoa - PB;21
29/04/2026 08:25;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];1;C++, Java, JavaScript, Python, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS, INTELIGÊNCIA ARTIFICIAL;Sim;Sim;Patos - PB;23
29/04/2026 23:20;Totalmente Conectado [ use essa opção se você tem computador e Internet disponível sempre que precisar, sem restrições e/ou onde seus estudos são sempre prioridade ];3;C++, Java, JavaScript, PHP, Python, R, TypeScript;BANCO DE DADOS I, ENGENHARIA DE SOFTWARE, ESTATÍSTICA APLICADA, ESTRUTURAS DE DADOS E ALGORITMOS;Não;Não;Campina Grande - PB;24
